2019/03/23 18:06:37 [error] 6980#0: *54 connect() failed (111: Connection refused) while connecting to upstream, client: 118.31.251.34, server: , request: "GET //php-my-admin/scripts/setup.php HTTP/1.1", upstream: "http://127.0.0.1:8000//php-my-admin/scripts/setup.php", host: "47.93.11.157"
2019/03/23 18:06:37 [error] 6980#0: *56 connect() failed (111: Connection refused) while connecting to upstream, client: 118.31.251.34, server: , request: "GET //websql/scripts/setup.php HTTP/1.1", upstream: "http://127.0.0.1:8000//websql/scripts/setup.php", host: "47.93.11.157"
2019/03/23 18:06:37 [error] 6980#0: *58 connect() failed (111: Connection refused) while connecting to upstream, client: 118.31.251.34, server: , request: "GET //phpMyAdmin-2/scripts/setup.php HTTP/1.1", upstream: "http://127.0.0.1:8000//phpMyAdmin-2/scripts/setup.php", host: "47.93.11.157"
2019/03/23 18:06:37 [error] 6980#0: *60 connect() failed (111: Connection refused) while connecting to upstream, client: 118.31.251.34, server: , request: "GET //sqlmanager/scripts/setup.php HTTP/1.1", upstream: "http://127.0.0.1:8000//sqlmanager/scripts/setup.php", host: "47.93.11.157"
2019/03/23 18:06:37 [error] 6980#0: *62 connect() failed (111: Connection refused) while connecting to upstream, client: 118.31.251.34, server: , request: "GET //mysqlmanager/scripts/setup.php HTTP/1.1", upstream: "http://127.0.0.1:8000//mysqlmanager/scripts/setup.php", host: "47.93.11.157"
2019/03/23 18:06:37 [error] 6980#0: *64 connect() failed (111: Connection refused) while connecting to upstream, client: 118.31.251.34, server: , request: "GET //p/m/a/scripts/setup.php HTTP/1.1", upstream: "http://127.0.0.1:8000//p/m/a/scripts/setup.php", host: "47.93.11.157"
2019/03/23 18:06:37 [error] 6980#0: *66 connect() failed (111: Connection refused) while connecting to upstream, client: 118.31.251.34, server: , request: "GET //PMA2005/scripts/setup.php HTTP/1.1", upstream: "http://127.0.0.1:8000//PMA2005/scripts/setup.php", host: "47.93.11.157"
2019/03/23 18:06:38 [error] 6980#0: *68 connect() failed (111: Connection refused) while connecting to upstream, client: 118.31.251.34, server: , request: "GET //phpmanager/scripts/setup.php HTTP/1.1", upstream: "http://127.0.0.1:8000//phpmanager/scripts/setup.php", host: "47.93.11.157"
2019/03/23 18:06:38 [error] 6980#0: *70 connect() failed (111: Connection refused) while connecting to upstream, client: 118.31.251.34, server: , request: "GET //php-myadmin/scripts/setup.php HTTP/1.1", upstream: "http://127.0.0.1:8000//php-myadmin/scripts/setup.php", host: "47.93.11.157"
2019/03/23 18:06:38 [error] 6980#0: *72 connect() failed (111: Connection refused) while connecting to upstream, client: 118.31.251.34, server: , request: "GET //phpmy-admin/scripts/setup.php HTTP/1.1", upstream: "http://127.0.0.1:8000//phpmy-admin/scripts/setup.php", host: "47.93.11.157"
2019/03/23 18:06:39 [error] 6980#0: *74 connect() failed (111: Connection refused) while connecting to upstream, client: 118.31.251.34, server: , request: "GET //webadmin/scripts/setup.php HTTP/1.1", upstream: "http://127.0.0.1:8000//webadmin/scripts/setup.php", host: "47.93.11.157"
2019/03/23 18:06:39 [error] 6980#0: *76 connect() failed (111: Connection refused) while connecting to upstream, client: 118.31.251.34, server: , request: "GET //sqlweb/scripts/setup.php HTTP/1.1", upstream: "http://127.0.0.1:8000//sqlweb/scripts/setup.php", host: "47.93.11.157"
2019/03/23 18:06:39 [error] 6980#0: *78 connect() failed (111: Connection refused) while connecting to upstream, client: 118.31.251.34, server: , request: "GET //webdb/scripts/setup.php HTTP/1.1", upstream: "http://127.0.0.1:8000//webdb/scripts/setup.php", host: "47.93.11.157"
2019/03/23 18:06:39 [error] 6980#0: *80 connect() failed (111: Connection refused) while connecting to upstream, client: 118.31.251.34, server: , request: "GET //mysql-admin/scripts/setup.php HTTP/1.1", upstream: "http://127.0.0.1:8000//mysql-admin/scripts/setup.php", host: "47.93.11.157"
